SPECIES;NAME;LAT;LONG;MAX_AGE;MIN_AGE;MIS;PERIOD;EARLY_INTERVALL;LATE_INTERVALL;BASIN;COUNTRY;SP_SYNONYM;REFERENCE;;;;;
Mammuthus meridionalis;Montopoli;43.5;11;2.581;2.32;103-64;NA;;;Tyrrhenian Sea - Tuscany;Italy;Elephas maghrebiensis:Elephas moghrebiensis;;;;;;
Mammuthus meridionalis;Olivola;44.4167;10;2.138;1.981;103-64;NA;;;Tyrrhenian Sea - Tuscany;Italy;Elephas maghrebiensis:Elephas moghrebiensis;;;;;;
Mammuthus meridionalis;Oriolo;40.05;16.56666667;1.9;0.0117;103-1;NA;;;Southern Apennines;Italy;Elephas maghrebiensis:Elephas moghrebiensis;;;;;;
Mammuthus meridionalis;Pantalla;42.8742;12.4003;1.9;1.6;73-59;NA;Olivola FU;Tasso FU;Tyrrhenian Sea - Tuscany;Italy;Elephas maghrebiensis:Elephas moghrebiensis;"Sardella, R.; Bellucci, L.; Bona, F.; Cherin, M.; Iurino, D. A.; Rook, L. (2018): Before and after the earliest Homo dispersal in Europe: Evidence from the early Pleistocene sites of the Italian Peninsula. In: Comptes Rendus Palevol (17), S. 287–295.";;;;;
Mammuthus meridionalis;Pirro Nord;41.80194444;15.38472222;1.9;0.781;103-19;NA;;;Southern Apennines;Italy;Elephas maghrebiensis:Elephas moghrebiensis;;;;;;
Mammuthus meridionalis;Poggio Rosso, Upper Valdarno;43.62583333;11.48472222;1.8;1.8;71-70;NA;;;\N;Italy;Elephas maghrebiensis:Elephas moghrebiensis;"Kahlke, Ralf-Dietrich; García, Nuria; Kostopoulos, Dimitris S.; Lacombat, Frédéric; Lister, Adrian M.; Mazza, Paul P.A. et al. (2011): Western Palaearctic palaeoenvironmental conditions during the Early and early Middle Pleistocene inferred from large mammal communities, and implications for hominin dispersal in Europe. In: Quaternary Science Reviews 30 (11-12), S. 1368–1395. DOI: 10.1016/j.quascirev.2010.07.020.";;;;;
Mammuthus meridionalis;Rio Pradella;44.33333333;11.81666667;1.9;0.0117;103-1;NA;;;Po;Italy;Elephas maghrebiensis:Elephas moghrebiensis;;;;;;
Mammuthus meridionalis;Rocca Santo Stefano, L'Aquila, Abruzzo;42.33766;13.25797;1.28;1.07;39-31;;older than Jaramillo, younger than MIS 40;;;Italy;;"Agostini, S.; Palombo, M. R.; Rossi, M. A.; Di Canzio, E.; Tallini, M. (2012): Mammuthus meridionalis (Nesti, 1825) from Campo di Pile (L'Aquila, Abruzzo, Central Italy). In: Quaternary International (276-277), S. 42–52.";;;;;
Mammuthus meridionalis;Selvella;44.2117;10.5628;3.55;1.9;103-64;NA;;;Tyrrhenian Sea - Tuscany;Italy;Elephas maghrebiensis:Elephas moghrebiensis;;;;;;
Mammuthus meridionalis;Serbaro di Romagnano, Commune di Grezzana, Verona;46.016666;11.1;0.781;0.126;19-5e;NA;Middle Pleistocene;;;Italy;;M. Bon, G. Piccoli, and B. Sala. 1991. I giacimenti Quaternari di vertebrati fossili nell'Italia Nord-Orientale. Memorie degli Instituti di Geologia e Mineralogia dell'Universita di Padova 47:185-231;;;;;
Mammuthus meridionalis;Soave, Verona;45.422667;11.231845;0.15;0.1;6;K;Uppermost Lower Pleistocene;;;Italy;;Kahlke, H. D.: The macro-faunas of continental Europe during the Middle Pleistocene: Stratigraphic sequence and problems of intercorrelation. In: After the Australopithecines: Stratigraphy, Ecology and Culture Change in the Middle Pleistocene.;;;;;
Mammuthus meridionalis;Upper Valdarno;43.3333;11.0833;1.95;1.8;74-71;NA;Late Villafranchian, Olivola FU;;Tyrrhenian Sea - Tuscany;Italy;Elephas maghrebiensis:Elephas moghrebiensis;"Baygusheva, V.; Titov, V. V. (2012): The evolution of Eastern European meridionaloid elephants' dental characteristics. In: Quaternary International (255), S. 206–216.    Napoleone, G.; Albianelli, A.; Azzaroli, A.; Mazzini, M. (2001): The Poggio Rosso locality calibrated to the end-Pliocene and its significance for dating the late Villafranchian mammal faunas of the Upper Valdarno, Central Italy. In: Rivist Italiana di Paleontologia e Stratigrafia (107), S. 287–296.";;;;;
Mammuthus meridionalis;Charyn upper;43.6;79.4;2.45;2.175;97-83;NA;;;West Tien Shan Intermontane;Kazakhstan;Elephas maghrebiensis:Elephas moghrebiensis;;;;;;
Mammuthus meridionalis;Kopala 2;43.4;79;3;2.175;103-64;NA;;;West Tien Shan Intermontane;Kazakhstan;Archidiskodon meridionalis;;;;;;
Mammuthus meridionalis;Podpusk;51.3;77.988;2;1.9;76;NA;;;Omsk/Nyurolka Sub-basin - West Siberia;Kazakhstan;Archidiskodon meridionalis;Vislobokova, Inesa (2005): On Pliocene faunas with Proboscideans in the territory of the former Soviet Union. In: Quaternary International 126-128, S. 93–105. DOI: 10.1016/j.quaint.2004.04.017.;;;;;
Mammuthus meridionalis;Salchia/ Salcia;46.937835;29.16815;2;1.9;76;K;;;;Moldova;;"Kahlke, Ralf-Dietrich; García, Nuria; Kostopoulos, Dimitris S.; Lacombat, Frédéric; Lister, Adrian M.; Mazza, Paul P.A. et al. (2011): Western Palaearctic palaeoenvironmental conditions during the Early and early Middle Pleistocene inferred from large mammal communities, and implications for hominin dispersal in Europe. In: Quaternary Science Reviews 30 (11-12), S. 1368–1395. DOI: 10.1016/j.quascirev.2010.07.020.";;;;;
Mammuthus meridionalis;Domburg;51.583687;3.479655;2;1.6;77-58;NA;Middle Miocene;Early Pleistocene;;Netherlands;;D. J. Scager, H.-J. Ahrens, and F. E. Dieleman, L. W. van den Hoek Ostende, J. de Vos, J. W. F. Reumer. 2017. The Kor & Bot collection revisited, with a biostratigraphic interpretation of the Early Pleistocene Oosterschelde Fauna (Oosterschelde Estuary, the Netherlands). Deinsea 17:16-31;;;;;
Mammuthus meridionalis;Noordzee I;52.467;4.617;2.725;1.9;103-64;NA;;;Southern North Sea - Anglo-Dutch;Netherlands;Elephas maghrebiensis:Elephas moghrebiensis;;;;;;
Mammuthus meridionalis;Oosterschelde;51.628677;3.742984;2.3;2.25;90-87;NA;Early Pleistocene;;;Netherlands;;D. J. Scager, H.-J. Ahrens, and F. E. Dieleman, L. W. van den Hoek Ostende, J. de Vos, J. W. F. Reumer. 2017. The Kor & Bot collection revisited, with a biostratigraphic interpretation of the Early Pleistocene Oosterschelde Fauna (Oosterschelde Estuary, the Netherlands). Deinsea 17:16-31;;;;;
Mammuthus meridionalis;Tegelen;51.35;6.1667;1.7;1.7;62;K;TC5-6;;Southern North Sea - Anglo-Dutch;Netherlands;Elephas maghrebiensis:Elephas moghrebiensis;"Kahlke, Ralf-Dietrich; García, Nuria; Kostopoulos, Dimitris S.; Lacombat, Frédéric; Lister, Adrian M.; Mazza, Paul P.A. et al. (2011): Western Palaearctic palaeoenvironmental conditions during the Early and early Middle Pleistocene inferred from large mammal communities, and implications for hominin dispersal in Europe. In: Quaternary Science Reviews 30 (11-12), S. 1368–1395. DOI: 10.1016/j.quascirev.2010.07.020.";;;;;
Mammuthus meridionalis;La Pietris, Tetoiu 1 lower faunal horizon;44.75;23.916668;2;1.6;77-58;NA;Pleistocene;;;Romania;;"Radulescu, C.; Samson, P.-M.; Petulescu, A.; Stiucã, E. (2003): Pliocene large mammals of Romania. In: Coloquios de Paleontología (1), S. 549–558.";;;;;
Mammuthus meridionalis;Leu;44.25;24.0833;3.55;1.9;MG10-72;NA;;;Moesian Platform;Romania;Elephas maghrebiensis:Elephas moghrebiensis;;;;;;
Mammuthus meridionalis;Pietris;44.53;24;2.5;1.9;100-72;NA;;;Moesian Platform;Romania;Elephas maghrebiensis:Elephas moghrebiensis;;;;;;
Mammuthus meridionalis;Roscai;44.53;24;2.5;1.9;100-72;NA;;;Moesian Platform;Romania;Elephas maghrebiensis:Elephas moghrebiensis;;;;;;
Mammuthus meridionalis;Slatina 2;47;25;2.5;1.9;100-72;NA;;;Transylvanian;Romania;Archidiskodon meridionalis;;;;;;
Mammuthus meridionalis;Valea Graunceanului, Tetoiu 1 lower faunal horizon;44.75;23.916668;2;1.6;77-58;NA;Pleistocene;;;Romania;;"Radulescu, C.; Samson, P.-M.; Petulescu, A.; Stiucã, E. (2003): Pliocene large mammals of Romania. In: Coloquios de Paleontología (1), S. 549–558.";;;;;
Mammuthus meridionalis;Valea Roscai, Tetoiu 1 lower faunal horizon;44.75;23.916668;2;1.6;77-58;NA;Pleistocene;;;Romania;;"Radulescu, C.; Samson, P.-M.; Petulescu, A.; Stiucã, E. (2003): Pliocene large mammals of Romania. In: Coloquios de Paleontología (1), S. 549–558.";;;;;
Mammuthus meridionalis;Ajdyrlja;52.2;59.35;3.497666667;2.58;103-64;NA;;;\N;Russia;Elephas maghrebiensis:Elephas moghrebiensis;;;;;;
Mammuthus meridionalis;Liventsovka (Rostov-on-Don);47;40;2.4;2.15;96-82;NA;MN17;;Indolo-Kuban;Russia;Archidiskodon meridionalis;Vislobokova, Inesa (2005): On Pliocene faunas with Proboscideans in the territory of the former Soviet Union. In: Quaternary International 126-128, S. 93–105. DOI: 10.1016/j.quaint.2004.04.017.;;;;;
Mammuthus meridionalis;Psekoups, northern Ciscaucasia;44.83139;39.211388;2;1.9;76;K;Beginning of Late Villafranchian;;;Russia;;Vislobokova, Inesa (2005): On Pliocene faunas with Proboscideans in the territory of the former Soviet Union. In: Quaternary International 126-128, S. 93–105. DOI: 10.1016/j.quaint.2004.04.017.;;;;;
Mammuthus meridionalis;Rostov (na Donu) - Taganrog;47.2333;39.71388889;3.497666667;2.58;103-64;NA;;;Indolo-Kuban;Russia;Elephas maghrebiensis:Elephas moghrebiensis;;;;;;
Mammuthus meridionalis;Sinyaya Balka, Taman peninsula;45.314307;37.079107;0.995;1.01;28;K;;;;Russia;;"Agostini, S.; Palombo, M. R.; Rossi, M. A.; Di Canzio, E.; Tallini, M. (2012): Mammuthus meridionalis (Nesti, 1825) from Campo di Pile (L'Aquila, Abruzzo, Central Italy). In: Quaternary International (276-277), S. 42–52.";;;;;
Mammuthus meridionalis;Stavropol-Kavkazskij;45;42.1;5.333;2.58;103-64;NA;;;North Caucasus;Russia;Elephas maghrebiensis:Elephas moghrebiensis;;;;;;
Mammuthus meridionalis;Tash-Kala;43.3;45.7;1.945;0.781;74-19;NA;;;North Caucasus;Russia;Elephas maghrebiensis:Elephas moghrebiensis;;;;;;
Mammuthus meridionalis;Vinodelnoe (Kutsaj);45.4;42.7;3.497666667;2.58;103-64;NA;;;North Caucasus;Russia;Elephas maghrebiensis:Elephas moghrebiensis;;;;;;
Mammuthus meridionalis;Nova Vieska;47.867;18.45;3.55;1.9;MG10-72;NA;;;Pannonian;Slovakia;Elephas maghrebiensis:Elephas moghrebiensis;;;;;;
Mammuthus meridionalis;Strekov;47.883;18.433;3.55;1.9;MG10-72;NA;;;Pannonian;Slovakia;Elephas maghrebiensis:Elephas moghrebiensis;;;;;;
Mammuthus meridionalis;Barranc de la Boella;41.136057;1.16983;0.96;0.78;26-19;NA;;;;Spain;;"Mosquera, M.; Saladie, P.; Olle, A.; Caceres, I.; Huguet, R.; Villalain, J. J. et al. (2015): Barranc de la Boella (Catalonia, Spain): an Acheulean elephant butchering site from teh European late Early Pleistocene. In: Journal of Quaternary Science (30), S. 651–666.     Lozano-Fernández, I.; Bañuls-Cardona, S.; Blain, H.-A.; López-García, J. M.; Vallverdu, J.; Agustí, J.; Cuenca-Bescós, G. (2014): Biochronological data inferred from the Early Pleistocene small mammals of the Barranc de la Boella site (Tarragona, north-eastern Spain). In: Journal of Quaternary Science (29), S. 722–728.";;;;;
