SPECIES;NAME;LAT;LONG;MAX_AGE;MIN_AGE;MIS;PERIOD;EARLY_INTERVALL;LATE_INTERVALL;COUNTRY;STATE;REFERENCE;NOTIZ
Mammuthus primigenius;Arenero de Casa Eulogio;40.31878;-3.560749;0.379;0.275;;NA;;;Spain;Madrid;"Rodríguez?Almagro, Manuel; Sala, Nohemi; Wi?ing, Christoph; Arriolabengoa, Martin; Etxeberria, Francisco; Rios?Garaizar, Joseba; Gómez?Olivencia, Asier (2021): Ecological conditions during the Middle to Upper Palaeolithic transition (MIS 3) in Iberia: the cold?adapted faunal remains from Mainea, northern Iberian Peninsula. In: Boreas 50 (3), S. 686–708. DOI: 10.1111/bor.12501.";
Mammuthus primigenius;Ariendorf, Aufschluß B (outcrop B), base of Löss-Decke III (LD III);50.533333;7.3;0.126;0.0117;;NA;Late Pleistocene;;DE;Rheinland-Pfalz;K. Brunnacker, H. LÃ¶hr, and W. Boenigk, J. Puissegur, F. Poplin. 1975. QuartÃ¤r-AufschlÃ¼sse bei Ariendorf am unteren Mittelrhein (Quaternary exposures at Ariendorf on the lower Middle Rhine). Mainzer naturwissenschaftliches Archiv 14:93-141;
Mammuthus primigenius;Arnold Farm;39.887222;-90.009444;0.02;0.01;02. Jan;NA;;;;;;
Mammuthus primigenius;Arriaga, Vaciamadrid;37.216667;-3.616667;1.9;0.0117;;NA;;;Spain;Madrid;Álvarez-Lao, Diego J. (2014): The Jou Puerta cave (Asturias, NW Spain): A MIS 3 large mammal assemblage with mixture of cold and temperate elements. In: Palaeogeography, Palaeoclimatology, Palaeoecology 393, S. 1–19. DOI: 10.1016/j.palaeo.2013.10.011.;
Mammuthus primigenius;Arrie, Risebjär, Skåne;55.51503;13.08206;0.0229;0.0212;2;K;Late Pleistocene;;Sweden;;"Ukkonen, P.; Arppe, L.; Houmark-Nielsen, M.; Kjær, K. H.; Karhu, J. A. (2007): MIS 3 mammoth remains from Sweden—implications for faunal history, palaeoclimate and glaciation chronology. In: Quaternary Science Reviews 26 (25-28), S. 3081–3098. DOI: 10.1016/j.quascirev.2007.06.021.";
Mammuthus primigenius;Arrie, Risebjär, Skåne;55.51503;13.08206;0.041;0.0394;3;W;Late Pleistocene;;Sweden;;"Ukkonen, P.; Arppe, L.; Houmark-Nielsen, M.; Kjær, K. H.; Karhu, J. A. (2007): MIS 3 mammoth remains from Sweden—implications for faunal history, palaeoclimate and glaciation chronology. In: Quaternary Science Reviews 26 (25-28), S. 3081–3098. DOI: 10.1016/j.quascirev.2007.06.021.";
Mammuthus primigenius;Arylakh Lake;74.42;107.58;0.01198;0.0119;1;W;Late Pleistocene;;Russia;;"Kuzmin, Yaroslav V.; Orlova, Lyobov A. (2004): Radiocarbon chronology and environment of woolly mammoth (Mammuthus primigenius Blum.) in northern Asia: results and perspectives. In: Earth-Science Reviews 68 (1-2), S. 133–169. DOI: 10.1016/j.earscirev.2004.04.002.";
Mammuthus primigenius;Arylakh Lake;74.42;107.58;0.03313;0.03255;3;W;Late Pleistocene;;Russia;;"Kuzmin, Yaroslav V.; Orlova, Lyobov A. (2004): Radiocarbon chronology and environment of woolly mammoth (Mammuthus primigenius Blum.) in northern Asia: results and perspectives. In: Earth-Science Reviews 68 (1-2), S. 133–169. DOI: 10.1016/j.earscirev.2004.04.002.";
Mammuthus primigenius;Arylakh Lake;74.42;107.58;0.0374;0.0365;3;W;Late Pleistocene;;Russia;;"Kuzmin, Yaroslav V.; Orlova, Lyobov A. (2004): Radiocarbon chronology and environment of woolly mammoth (Mammuthus primigenius Blum.) in northern Asia: results and perspectives. In: Earth-Science Reviews 68 (1-2), S. 133–169. DOI: 10.1016/j.earscirev.2004.04.002.";
Mammuthus primigenius;Arylakh Lake;74.42;107.58;0.03963;0.03847;3;W;Late Pleistocene;;Russia;;"Kuzmin, Yaroslav V.; Orlova, Lyobov A. (2004): Radiocarbon chronology and environment of woolly mammoth (Mammuthus primigenius Blum.) in northern Asia: results and perspectives. In: Earth-Science Reviews 68 (1-2), S. 133–169. DOI: 10.1016/j.earscirev.2004.04.002.";
