SPECIES;DETERMINED AS;NAME;LAT;LONG;MAX_AGE;MIN_AGE;MIS;PERIOD;EARLY_INTERVALL;LATE_INTERVALL;COUNTRY;STATE;REFERENCE;NOTIZ;;
Mammuthus columbi;Mammuthus columbi;Lake Acambay;19.905399;-99.804981;0.012165;0.012035;1;W;Greenlandian;;MX;;"Israde-Alcántara, Isabel; Domínguez-Vázquez, G.; Gonzalez, S.; Bischoff, J.; West, A.; Huddart, D. (2018): Five Younger Dryas black mats in Mexico and their stratigraphic and paleoenvironmental context. In: J Paleolimnol 59 (1), S. 59–79. DOI: 10.1007/s10933-017-9982-y.";;;
Mammuthus columbi;Mammuthus columbi;Lake Cuitzeo;19.911013;-101.125271;0.013084;0.01271;1;W;Late Pleistocene;;MX;;"Israde-Alcántara, Isabel; Domínguez-Vázquez, G.; Gonzalez, S.; Bischoff, J.; West, A.; Huddart, D. (2018): Five Younger Dryas black mats in Mexico and their stratigraphic and paleoenvironmental context. In: J Paleolimnol 59 (1), S. 59–79. DOI: 10.1007/s10933-017-9982-y.";;;
Mammuthus columbi;Mammuthus columbi;Cuitzeo, Michoacan;19.9666;-101.1333;0.24;0.012;7-1;;Rancholabrean;;MX;;"PÉREZ-CRESPO, VÍCTOR ADRIÁN; Arroyo-Cabrales, Joaquín; Benammi, Mouloud; Johnson, Eileen; Polaco, Oscar J.; Santos-Moreno, Antonio et al. (2012): Geographic variation of diet and habitat of the Mexican populations of Columbian Mammoth (Mammuthus columbi). In: Quaternary International 276-277, S. 8–16. DOI: 10.1016/j.quaint.2012.03.014."; S. 8–16. DOI: 10.1016/j.quaint.2012.03.014.;;
Mammuthus columbi;Mammuthus columbi;Barranca San Agustin ;20;-98.633057;0.126;0.0117;5-1;;Late Pleistocene;;MX;Hidalgo;V.M. Bravo-Cuevas, F. Rivals, and J. Presto-Vargas. 2017. Paleoecology (C13 and O18 stable isotopes analysis) of a mammalian assemblage from the Late Pleistocene of Hidalgo, central Mexico and implications for a better understanding of environmental conditions in temperate North America (18 degrees - 36 degrees N Lat.). Palaeogeography, Palaeoclimatology, Palaeoecology 485:632-643;;;
Mammuthus columbi;Mammuthus imperator;Barranca San Agustin ;20;-98.633057;0.126;0.0117;5-1;;Late Pleistocene;;MX;;M. Cherin, D. A. Lurino, and R. Sardella, L. Rook. 2014. Actinomycetes pardinensis (Carnivora, Felidae) from the Early Pleistocene of Pantalla (Italy): predatory behavior and ecological role of the giant Plio-Pleistocene cheetah. Quaternary Science Review 87:82-97;;;
Mammuthus columbi;Mammuthus jeffersonii /M. columbi;Barranca San Agustin ;20;-98.633057;0.126;0.0117;;;Late Pleistocene;;MX;Hidalgo;M. Cherin, D. A. Lurino, and R. Sardella, L. Rook. 2014. Actinomycetes pardinensis (Carnivora, Felidae) from the Early Pleistocene of Pantalla (Italy): predatory behavior and ecological role of the giant Plio-Pleistocene cheetah. Quaternary Science Review 87:82-97;;;
Mammuthus columbi;Mammuthus columbi;Ventoquipa;20.016666;-98.333336;0.126;0.0117;5-1;;Late Pleistocene;;MX;Hidalgo;M. Cherin, D. A. Lurino, and R. Sardella, L. Rook. 2014. Actinomycetes pardinensis (Carnivora, Felidae) from the Early Pleistocene of Pantalla (Italy): predatory behavior and ecological role of the giant Plio-Pleistocene cheetah. Quaternary Science Review 87:82-97;;;
Mammuthus columbi;Mammuthus imperator;Ventoquipa;20.016666;-98.333336;0.126;0.0117;5-1;;Late Pleistocene;;MX;;M. Cherin, D. A. Lurino, and R. Sardella, L. Rook. 2014. Actinomycetes pardinensis (Carnivora, Felidae) from the Early Pleistocene of Pantalla (Italy): predatory behavior and ecological role of the giant Plio-Pleistocene cheetah. Quaternary Science Review 87:82-97;;;
Mammuthus columbi;Mammuthus jeffersonii /M. columbi;Ventoquipa;20.016666;-98.333336;0.126;0.0117;;;Late Pleistocene;;MX;Hidalgo;M. Cherin, D. A. Lurino, and R. Sardella, L. Rook. 2014. Actinomycetes pardinensis (Carnivora, Felidae) from the Early Pleistocene of Pantalla (Italy): predatory behavior and ecological role of the giant Plio-Pleistocene cheetah. Quaternary Science Review 87:82-97;;;
Mammuthus columbi;Mammuthus columbi;Barranca Piedras Negras;20.050833;-98.623055;0.126;0.0117;5-1;;Late Pleistocene;;MX;Hidalgo;V.M. Bravo-Cuevas, F. Rivals, and J. Presto-Vargas. 2017. Paleoecology (C13 and O18 stable isotopes analysis) of a mammalian assemblage from the Late Pleistocene of Hidalgo, central Mexico and implications for a better understanding of environmental conditions in temperate North America (18 degrees - 36 degrees N Lat.). Palaeogeography, Palaeoclimatology, Palaeoecology 485:632-643;;;
